Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
1/8/2021,129.309998,77900,227.300003,4235000,3772,293325,2153625
1/11/2021,126.690002,59800,227.315002,2462500,2619,204536,1532373
1/12/2021,129.789993,38700,225.910004,2748800,3602,218031,2038694
1/13/2021,128.320007,54200,231,1834300,4071,228273,2120398
1/14/2021,130.169998,63300,226.300003,2755000,3708,223815,2092033
1/15/2021,128.360001,65300,228,2337700,3407,240118,2050935
1/19/2021,128.440002,63200,228.669998,3415600,2757,149970,1819002
1/20/2021,128.830002,39600,235,6554400,3858,188352,2145008
1/21/2021,130.100006,49000,245.809998,2593600,3838,188611,2069651
1/22/2021,125.980003,51000,244.960007,5043300,3688,191205,1939777
1/25/2021,130.149994,47500,265.48999,9083500,2129,134347,1243917
1/26/2021,133.449997,56300,283.825012,3490800,3560,146828,1795009
1/27/2021,131.080002,84300,275,3798300,3982,159388,2078490
1/28/2021,134.339996,73200,268.589996,3236300,3865,156410,1919712
1/29/2021,125.669998,122600,262.350006,3704100,3270,164601,1857601
2/1/2021,120.510002,73300,265.200012,2728900,2279,129003,1038751
2/2/2021,128.059998,42400,270,2749600,2968,122060,1641913
2/3/2021,128.029999,31300,269.850006,1747900,3317,108864,1879558
2/4/2021,127.690002,23400,277.850006,2191600,3132,125432,1940130
2/5/2021,132.880005,34900,280,2229500,3418,124972,1839993
2/8/2021,133.929993,31300,286.579987,1944200,1697,82407,1050820
2/9/2021,136.899994,57000,293.959991,2085300,2440,91585,1701973
2/10/2021,138.740005,50200,290.48999,2024200,2828,99175,1649931
2/11/2021,138.169998,47200,291.25,2063700,3246,99475,1425255
2/12/2021,136.679993,28300,285.350006,1847600,2527,97875,1419999
2/16/2021,139.600006,49900,298.26001,3341800,1431,57464,1257483
2/17/2021,135.630005,77500,288.600006,2247500,2193,63967,1478400
2/18/2021,136.940002,39600,283.399994,1621900,2260,68577,1420966
2/19/2021,134.380005,35100,286.600006,1929400,2450,73775,1360329
2/22/2021,135.369995,30600,292.140015,2858200,1523,56467,1046264
2/23/2021,135.820007,117300,251.529999,4694900,1709,70420,1654148
2/24/2021,136.699997,71700,256.559998,3007100,2007,72829,1697874
2/25/2021,127,489100,240,9082300,2936,71893,1619406
2/26/2021,116.029999,162100,222.149994,6992600,1934,73587,1484260
3/1/2021,119.209999,81600,227,4941000,1258,51358,999659
3/2/2021,116.690002,85500,229.399994,3057700,1357,54402,1618208
3/3/2021,112.300003,54600,214.630005,5570600,1558,66013,1745616
3/4/2021,111.739998,109600,201.25,6852200,1560,65543,1560059
3/5/2021,112.610001,57600,194.149994,8593200,1956,64232,1437335
3/8/2021,113.699997,59500,188.149994,4448600,821,43399,982232
3/9/2021,116.099998,73600,186.690002,4383700,1019,52938,1546293
3/10/2021,119.800003,46700,196.300003,5604200,1581,62160,1621976
3/11/2021,121.489998,52500,190,5865700,1324,60203,1505836
3/12/2021,119.330002,51600,195.169998,3815600,1287,64286,1403902
3/15/2021,121.089996,35600,201.080002,2950100,699,43774,954249
3/16/2021,120.900002,49100,204,2426800,863,52004,1504941
3/17/2021,115.959999,75800,184.809998,6752500,1056,61728,1623391
3/18/2021,119.440002,94300,189.869995,4097700,839,62887,1480079
3/19/2021,119.68,144300,185.550003,3759300,1186,62384,1348406
3/22/2021,119.709999,42900,192.119995,2860500,943,48527,979326
3/23/2021,115.160004,106700,197.179993,2113800,753,58011,1535650
3/24/2021,114.43,82100,194.880005,3533600,1121,68449,1663187
3/25/2021,106.970001,198400,177.5,6422600,989,65984,1452625
3/26/2021,109.220001,249000,178.369995,3388500,1060,75250,1378079
3/29/2021,106.07,103800,175,4048600,557,58448,1012195
